回南家园,116.387821,40.084579
九台庄园,116.388837,40.078173
九台庄园东站,116.392088,40.078633
都市芳园,116.395586,40.079154
半截塔村,116.399651,40.079762
天通西苑三区北门,116.408181,40.079518
地铁天通苑站,116.413446,40.07714
天通苑太平庄,116.412665,40.070412
地铁天通苑南站,116.413021,40.066272
天通西苑南,116.413563,40.05997
东小口,116.413815,40.056949
地铁立水桥站,116.413567,40.053898
立水桥北站,116.411814,40.04977
地铁立水桥南站,116.414258,40.042157
大羊坊,116.416441,40.036341
北苑,116.417886,40.027721
辛店村,116.416953,40.016454
北苑路大屯北站,116.416615,40.007374
北苑路大屯,116.417543,40.001832
慧忠路东口,116.41694,39.996406
安慧里五区,116.416888,39.992409
惠新西桥,116.416939,39.988701
惠新西街,116.417318,39.981602
樱花园西街,116.417635,39.974792
和平西桥北,116.417817,39.97115
和平西桥,116.420217,39.969036
和平东桥,116.42201,39.969089
