甜水园街北口,116.477044,39.93365
甜水园北里,116.478216,39.929457
金台路口南,116.478038,39.921176
红庙路口北,116.477959,39.917568
景辉街东口,116.477852,39.912361
八王坟北,116.477843,39.910716
八王坟南,116.477669,39.906411
光辉桥南,116.477639,39.904336
百子湾路口东,116.479683,39.900482
百子湾桥西,116.483937,39.90059
百子湾桥东,116.490894,39.900651
百子湾,116.497786,39.900777
水南庄,116.501875,39.900816
水南庄南站,116.502609,39.897253
唐家村,116.501701,39.893251
大郊亭桥东,116.493316,39.893277
大郊亭桥南,116.489449,39.891296
窑洼湖桥北,116.489414,39.887609
工大桥,116.489288,39.87664
弘燕桥北(南行),116.487724,39.869366
弘燕桥北(北行),116.489098,39.86853
厚俸桥南,116.499832,39.868565
金蝉南路西口,116.501503,39.86414
厚金路南口,116.505187,39.861632
金蝉南里,116.501076,39.861012
